Book Title,Topic,Description,Notes,Classification,Năm,BookPublisher,,Location,Author,Số lượng bản 
N'Basic research methods : an entry to social science research',N'Khoa học xã hội - Nghiên cứu',N'1 online resource',N'Includes bibliographical references (pages 213-216) and index.',N'H',2012,N'Los Angeles : SAGE Publications',,N'Phòng đọc chuyên ngành A-P (P.402)',Gerard Guthrie,1
N'Hợp tuyển thơ văn Việt Nam. Tập 5, Quyển 1., Văn học dân tộc ít người.',N'Văn học hiện đại Việt Nam',N'549 tr.; 19 cm.',N'In lần thứ 2 có sửa chữa bổ sung',N'H',1979,N'Hà Nội : Văn học',,N'Phòng mượn sách tham khảo (P.102)',Unknown,1
N'Computational Handbook of Statistics',N'Thống kê',N'361 tr.',N'4th ed.',N'H',1996,N'Massachusetts : Addison-Wesley',,N'Phòng mượn sách tham khảo (P.102)',James L. Bruning,1
N'Chính trị học Việt Nam',N'Chính trị học - Việt Nam',N'406 tr. ; 21 cm.',N'Học viện báo chí và tuyên truyền. Khoa chính trị học',N'J',2009,N'Hà Nội: Chính trị-hành chính',,N'Phòng đọc chuyên ngành A-P (P.402)',Dương Xuân Ngọc,1
N'Tìm hiểu môn học chính trị học : Dưới dạng hỏi và đáp',N'Chính trị học',N'242 tr. ; 20 cm.',N'Trình bày những vấn đề về chính trị học đaị cương, lịch sử tư tưởng chính trị, thể chế chính trị thế giới đương đại, những vấn đề về phương pháp giảng dạy và nghiên cứu chính trị học, nghiên cứu tác phẩm của chủ nghĩa Mac - Lênin về chính trị, nghiên cứu tác phẩm của Hồ Chí Minh về chính trị',N'J',2005,N'Hà Nội : Lý luận Chính trị',,N'Phòng đọc chuyên ngành A-P (P.402)',Dương Xuân Ngọc,5
N'Vấn đề dân chủ và Dân chủ hóa đời sống',N'Dân chủ -- Đời sống',N'110tr.; 20,5 cm.',N'Làm rõ thực chất của dân chủ trong lịch sử nhân loại, nhất là chế độ dân chủ đương đại. Chỉ ra thực chất chế độ dân chủ mà nhân dân ta đang xây dựng , những vấn đề đang đặt ra về lý luận và thực tiễn cần phải giải quyết trong xây dựng chế độ dân chủ xã hội chủ nghĩa ở Việt Nam.',N'J',2015,N'Hà Nội : Lý luận Chính trị',,N'Phòng đọc chuyên ngành A-P (P.402)',Trần Thành,1
N'Giáo trình pháp luật đại cương',N'Pháp luật - Giáo trình',N'327 tr.; 24 cm.',N'Bộ Giáo dục và đào tạo',N'K',2014,N'Hà Nội : Đại học Sư phạm',,N'Phòng đọc chuyên ngành A-P (P.402)', Mai Hồng Quỳ ,10
N'Cẩm nang sở hữu trí tuệ : Chính sách, pháp luật và áp dụng',N'Sở hữu trí tuệ -- Sách tra cứu',N'460 tr.; 30 cm.',N'Khái niệm về sở hữu trí tuệ. Các lĩnh vực bảo hộ sở hữu trí tuệ. Vai trò của sở hữu trí tuệ trong sự phát triển và chương trình hợp tác phát triển của WIPO. Thực thi quyền sở hữu trí tuệ. Các công ước và thoả ước quốc tế về Sở hữu trí tuệ. Quản lý và giảng dạy về sở hữu trí tuệ. Sự phát triển công nghệ và pháp lý trong lĩnh vực sở hữu trí tuệ.',N'K',2005,N'[Hà Nội] : Tổ chức sở hữu trí tuệ thế giới',,N' Phòng đọc chuyên ngành A-P (P.402)',Unknown,10
N'Topic tackler plus to accompany financial accounting',N'Financial accounting',N'1 CD-ROM (4 3/4 in.)',N'5 th ed.',N'L',2007,N'[s.l] : McGraw-Hill',,N'Phòng đọc đa phương tiện (P.0)',Robert Libby,1
N'Minutes of the 4th Steering Committee Meeting',N'Giáo dục -- Hội thảo -- Đông Nam Á',N'74 tr. ; 30 cm.',N'AUN/SEED-Net -National University of Laos. Lao P. D. R. November 22, 2002',N'L',2002,N'Bangkok : Chulalongkorn University',,N' Phòng đọc chuyên ngành A-P (P.402)',Unknown,1
N'Vietnam education and training directory',N'Giáo dục -- Niên giám -- Việt Nam',N'291 tr.; 22 cm.',N'National education system of Viet Nam, current status of Viet Nam education, strategy for education and traning development to the year 2020.',N'L',2000,N'Hà Nội : Education publishing house',,N' Phòng đọc chuyên ngành A-P (P.402)',Ngô Trần Ái,2
N'Nhạc Giao Hưởng Việt Nam một tiến trình lịch sử ',N'Nhạc giao hưởng - Tiến trình - Lịch sử - Việt Nam',N'256tr. ; 21 cm.',N'Đề cập đến những vấn đề và sự tồn tại của dòng nhạc giao hưởng Việt Nam',N'M',2012,N'Hà Nội: Âm Nhac',,N' Phòng đọc chuyên ngành A-P (P.402)',Nguyễn Thế Tuân,1
N'Hát dân ca: Trung cấp âm nhạc ',N'Dân ca',N'200 tr.; 27 cm',N'Bộ văn hóa thể thao và du lịch, Nhạc viện TP.Hồ Chí Minh',N'M',2008,N'TP. Hồ Chí Minh: Nhà xuất bản Âm nhạc',,N'Phòng đọc chuyên ngành A-P (P.402)',Nguyễn Thị Mỹ Liêm,1
N'The enjoyment of music : an introduction to perceptive listening',N'Âm nhạc',N'xxx, 516 p. : ill. (some col.); 28 cm. + 1 CD-ROM (4 3/4 in.)',N'9th ed., shorter.',N'M',2003,N'New York : W.W. Norton',,N'Phòng đọc chuyên ngành A-P (P.402)',Joseph Machlis,1
N'Mỹ học : Cơ bản và nâng cao',N'Mỹ học',N'839 tr. ; 21 cm.',N'Dịch từ nguyên bản tiếng Nga của nhà xuất bản đại học Maxcơva',N'N',2001,N'Hà Nội : Văn hoá thông tin',,N'Phòng đọc chuyên ngành A-P (P.402)',M. F. ốp-xi-an-nhi-cốp,2
N'Hình tượng thực vật trong nghệ thuật tạo hình của người Việt',N'Hình tượng thực vật - Nghệ thuật tạo hình - Việt Nam',N'365 tr.; 24 cm.',N'Khái lược về hình tượng thực vật ở Việt Nam và một số nước Đông Nam Á . Hình tượng thực vật trong nghệ thuật tạo hình truyền thống của người Việt và trong mỹ thuật Việt Nam hiện đại.',N'N',2013,N'Hà Nội : Thời đại',,N'Phòng đọc chuyên ngành A-P (P.402)',Triệu Thế Hùng,2
N'Kiến trúc Thăng Long - Hà Nội',N'Kiến trúc -- Lịch sử -- Hà Nội',N'368 tr. ; 24 cm.',N'Cuốn sách khắc họa bức tranh kiến trúc Thăng Long Hà Nội, hiểu được quá trình hình thành diện mạo kiến trúc Thăng Long từ những tụ cư bên sông Hồng tới Đại La...',N'N',2019,N'Hà Nội: Hà Nội',,N'Phòng mượn sách tham khảo (P.102)',Lê Văn Lân,1
